WellID,Date,Elevation,Type
W086,1966-03-09,1331.6,Well Water Level
W087,1966-03-09,1332.4,Well Water Level
W055,1966-03-10,1357.5,RPELEV
W075,1966-03-10,1372.8,RPELEV
W092,1966-03-10,1358.4,RPELEV
W093,1966-03-10,1358.4,RPELEV
W055,1966-03-10,1350.5,Well Water Level
W075,1966-03-10,1358.6,Well Water Level
W092,1966-03-10,1344,Well Water Level
W093,1966-03-10,1344.4,Well Water Level
W037,1966-03-22,1360.5,RPELEV
W037,1966-03-22,1357,Well Water Level
W051,1966-03-23,1360.5,RPELEV
W051,1966-03-23,1356.5,Well Water Level
W037,1966-10-18,1360.5,RPELEV
W037,1966-10-18,1342.7,Well Water Level
W051,1966-11-07,1360.5,RPELEV
W051,1966-11-07,1338.8,Well Water Level
W075,1966-11-09,1372.8,RPELEV
W079,1966-11-09,1336.3,RPELEV
W075,1966-11-09,1341.7,Well Water Level
W079,1966-11-09,1317.7,Well Water Level
W055,1966-11-10,1357.5,RPELEV
W086,1966-11-10,1345.7,RPELEV
W087,1966-11-10,1335.6,RPELEV
W092,1966-11-10,1358.4,RPELEV
W093,1966-11-10,1358.4,RPELEV
W055,1966-11-10,1323.8,Well Water Level
W086,1966-11-10,1321.5,Well Water Level
W087,1966-11-10,1321.6,Well Water Level
W092,1966-11-10,1321.2,Well Water Level
W093,1966-11-10,1321.4,Well Water Level
W051,1966-12-19,1360.5,RPELEV
W075,1966-12-19,1372.8,RPELEV
W086,1966-12-19,1345.7,RPELEV
W092,1966-12-19,1358.4,RPELEV
W093,1966-12-19,1358.4,RPELEV
W051,1966-12-19,1345.3,Well Water Level
W075,1966-12-19,1355.4,Well Water Level
W086,1966-12-19,1327.4,Well Water Level
W092,1966-12-19,1338.7,Well Water Level
W093,1966-12-19,1338.9,Well Water Level
W037,1967-03-29,1360.5,RPELEV
W037,1967-03-29,1356.4,Well Water Level
W051,1967-04-03,1360.5,RPELEV
W075,1967-04-03,1372.8,RPELEV
W051,1967-04-03,1357.4,Well Water Level
W075,1967-04-03,1362.5,Well Water Level
W055,1967-04-04,1357.5,RPELEV
W079,1967-04-04,1336.3,RPELEV
W086,1967-04-04,1345.7,RPELEV
W087,1967-04-04,1335.6,RPELEV
W092,1967-04-04,1358.4,RPELEV
W093,1967-04-04,1358.4,RPELEV
W055,1967-04-04,1351.2,Well Water Level
W079,1967-04-04,1329.8,Well Water Level
W086,1967-04-04,1333,Well Water Level
W087,1967-04-04,1333.3,Well Water Level
W092,1967-04-04,1343.2,Well Water Level
W093,1967-04-04,1344.1,Well Water Level
W037,1967-10-20,1360.5,RPELEV
W037,1967-10-20,1344.7,Well Water Level
W051,1967-10-26,1360.5,RPELEV
W055,1967-10-26,1357.5,RPELEV
W075,1967-10-26,1372.8,RPELEV
W079,1967-10-26,1336.3,RPELEV
W086,1967-10-26,1345.7,RPELEV
W087,1967-10-26,1335.6,RPELEV
W092,1967-10-26,1358.4,RPELEV
W093,1967-10-26,1358.4,RPELEV
W051,1967-10-26,1341.8,Well Water Level
W055,1967-10-26,1332.6,Well Water Level
W075,1967-10-26,1350.1,Well Water Level
W079,1967-10-26,1320.7,Well Water Level
W086,1967-10-26,1324.6,Well Water Level
W087,1967-10-26,1325.1,Well Water Level
W092,1967-10-26,1327,Well Water Level
W093,1967-10-26,1330.2,Well Water Level
W037,1968-04-05,1360.5,RPELEV
W051,1968-04-05,1360.5,RPELEV
W037,1968-04-05,1356.2,Well Water Level
W051,1968-04-05,1357,Well Water Level
W055,1968-04-15,1357.5,RPELEV
W075,1968-04-15,1372.8,RPELEV
W079,1968-04-15,1336.3,RPELEV
W086,1968-04-15,1345.7,RPELEV
W087,1968-04-15,1335.6,RPELEV
W092,1968-04-15,1358.4,RPELEV
W093,1968-04-15,1358.4,RPELEV
W055,1968-04-15,1350.1,Well Water Level
